epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,1982.74,0.49133,0.92764,0.1486,0.5408,1.05653,0.96864,0.97085,0.98506,0.95715,0.96622,0.9669,0.97943,0.87281,0.28888,0.56551,0.10482,0.22999,0.69302,0.00169795,0.000565984,0.00169795,0.000565984,0.00169795,0.000565984,0.00169795,0.000565984
42,2027.18,0.47895,0.90635,0.15013,0.53703,1.04354,0.96893,0.9812,0.98935,0.96183,0.97458,0.9713,0.98448,0.87849,0.28196,0.55575,0.10766,0.22262,0.68523,0.00168273,0.000560909,0.00168273,0.000560909,0.00168273,0.000560909,0.00168273,0.000560909
43,2071.87,0.47663,0.91346,0.14831,0.52171,1.04904,0.96093,0.98361,0.98713,0.96439,0.95673,0.97944,0.98164,0.87408,0.26832,0.58159,0.10342,0.22626,0.67772,0.0016675,0.000555833,0.0016675,0.000555833,0.0016675,0.000555833,0.0016675,0.000555833
44,2121.47,0.48115,0.89881,0.14502,0.51021,1.03972,0.98084,0.98098,0.98639,0.96068,0.97724,0.9755,0.98059,0.88024,0.2902,0.57008,0.10426,0.22914,0.68994,0.00165227,0.000550758,0.00165227,0.000550758,0.00165227,0.000550758,0.00165227,0.000550758
45,2177.76,0.48462,0.88782,0.14373,0.52792,1.04967,0.97851,0.97664,0.98845,0.95968,0.97209,0.97033,0.9787,0.871,0.27683,0.60102,0.10306,0.22814,0.68746,0.00163705,0.000545682,0.00163705,0.000545682,0.00163705,0.000545682,0.00163705,0.000545682
46,2234.02,0.47025,0.89396,0.14498,0.50858,1.041,0.9648,0.97573,0.9868,0.95499,0.96006,0.97169,0.98051,0.879,0.29878,0.57466,0.10263,0.24354,0.69208,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607
47,2289.96,0.46721,0.86627,0.14173,0.5041,1.035,0.97438,0.9746,0.98663,0.96053,0.97072,0.97112,0.98228,0.88045,0.27529,0.56756,0.10137,0.23156,0.67773,0.00160659,0.000535532,0.00160659,0.000535532,0.00160659,0.000535532,0.00160659,0.000535532
48,2345.79,0.46503,0.85447,0.14352,0.50598,1.0388,0.97803,0.96931,0.98796,0.96153,0.97563,0.96612,0.9832,0.88111,0.27185,0.5554,0.10696,0.22984,0.67917,0.00159137,0.000530456,0.00159137,0.000530456,0.00159137,0.000530456,0.00159137,0.000530456
49,2401.52,0.47296,0.85652,0.14188,0.5046,1.04126,0.97686,0.97018,0.98673,0.96218,0.97397,0.96743,0.98203,0.88161,0.27314,0.56097,0.10167,0.23135,0.68446,0.00157614,0.000525381,0.00157614,0.000525381,0.00157614,0.000525381,0.00157614,0.000525381
50,2457.42,0.46914,0.87915,0.1429,0.50033,1.04233,0.97111,0.98372,0.98639,0.95845,0.96759,0.98027,0.98056,0.88127,0.29855,0.54156,0.1012,0.23163,0.68376,0.00156092,0.000520305,0.00156092,0.000520305,0.00156092,0.000520305,0.00156092,0.000520305
51,2513.16,0.46328,0.8483,0.14182,0.49604,1.04135,0.97305,0.97478,0.98879,0.9622,0.96938,0.97131,0.98433,0.88406,0.27517,0.55193,0.10121,0.22008,0.67365,0.00154569,0.00051523,0.00154569,0.00051523,0.00154569,0.00051523,0.00154569,0.00051523
52,2569.24,0.44977,0.82002,0.13912,0.47924,1.02621,0.97551,0.96919,0.98808,0.96162,0.9736,0.96493,0.98481,0.88147,0.27118,0.55734,0.10079,0.22461,0.67894,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155
53,2624.85,0.46483,0.81957,0.13799,0.48282,1.03777,0.97479,0.97152,0.98823,0.95732,0.97407,0.97083,0.98669,0.88825,0.29359,0.55003,0.09785,0.23204,0.69225,0.00151524,0.000505079,0.00151524,0.000505079,0.00151524,0.000505079,0.00151524,0.000505079
54,2680.24,0.4631,0.8381,0.13839,0.49987,1.04066,0.97193,0.96749,0.98688,0.96302,0.96978,0.96542,0.9834,0.88354,0.28397,0.57357,0.1014,0.23332,0.68066,0.00150001,0.000500004,0.00150001,0.000500004,0.00150001,0.000500004,0.00150001,0.000500004
55,2735.23,0.46298,0.83319,0.13938,0.49071,1.03636,0.96871,0.97719,0.98523,0.95976,0.96561,0.97359,0.97981,0.88134,0.28312,0.56467,0.09965,0.2352,0.68118,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928
56,2790.87,0.44636,0.83236,0.14025,0.47068,1.02863,0.97879,0.97192,0.9843,0.95708,0.97427,0.9677,0.97536,0.8711,0.28135,0.56912,0.09835,0.23632,0.6792,0.00146956,0.000489853,0.00146956,0.000489853,0.00146956,0.000489853,0.00146956,0.000489853
57,2846.53,0.45547,0.81435,0.13758,0.4732,1.02965,0.96515,0.97013,0.98164,0.95785,0.9602,0.96517,0.97415,0.88343,0.26479,0.56168,0.09771,0.23901,0.67932,0.00145433,0.000484778,0.00145433,0.000484778,0.00145433,0.000484778,0.00145433,0.000484778
58,2902.06,0.45887,0.84497,0.13914,0.48647,1.03534,0.97555,0.97632,0.98622,0.96273,0.97073,0.9711,0.97939,0.88845,0.26577,0.54547,0.09647,0.22438,0.67487,0.00143911,0.000479702,0.00143911,0.000479702,0.00143911,0.000479702,0.00143911,0.000479702
59,2958.21,0.45482,0.85299,0.14031,0.47617,1.03042,0.98063,0.96884,0.98588,0.95987,0.97618,0.96477,0.97971,0.88751,0.27483,0.55427,0.09775,0.23196,0.6787,0.00142388,0.000474627,0.00142388,0.000474627,0.00142388,0.000474627,0.00142388,0.000474627
60,3014.33,0.44669,0.78983,0.13594,0.46769,1.02788,0.98323,0.97112,0.98646,0.96078,0.98071,0.96775,0.98157,0.88928,0.2774,0.53817,0.09821,0.22271,0.67565,0.00140865,0.000469551,0.00140865,0.000469551,0.00140865,0.000469551,0.00140865,0.000469551
61,3070.65,0.44792,0.78805,0.13696,0.46496,1.02796,0.98018,0.97764,0.98788,0.96118,0.97658,0.97314,0.98404,0.89456,0.26375,0.53365,0.09763,0.21734,0.66885,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476
62,3126.18,0.44003,0.77378,0.13546,0.46566,1.02007,0.97558,0.97999,0.98708,0.95767,0.9753,0.97535,0.98247,0.88528,0.26509,0.53944,0.09672,0.22137,0.67222,0.0013782,0.000459401,0.0013782,0.000459401,0.0013782,0.000459401,0.0013782,0.000459401
63,3181.8,0.43288,0.76103,0.1347,0.44722,1.02269,0.98137,0.96631,0.98491,0.95789,0.97701,0.96219,0.97723,0.88684,0.26849,0.52278,0.09607,0.22298,0.67031,0.00136298,0.000454325,0.00136298,0.000454325,0.00136298,0.000454325,0.00136298,0.000454325
64,3237.25,0.44775,0.81858,0.13614,0.46662,1.02813,0.98174,0.9794,0.98834,0.96044,0.97869,0.97568,0.9826,0.88575,0.26668,0.54898,0.09789,0.21014,0.68045,0.00134775,0.00044925,0.00134775,0.00044925,0.00134775,0.00044925,0.00134775,0.00044925
65,3293,0.43594,0.78302,0.1343,0.45774,1.02455,0.97292,0.98175,0.9896,0.96448,0.97168,0.97894,0.9862,0.89535,0.26093,0.53353,0.09711,0.21722,0.66958,0.00133252,0.000444174,0.00133252,0.000444174,0.00133252,0.000444174,0.00133252,0.000444174
66,3348.54,0.43355,0.79954,0.13299,0.44447,1.02082,0.97341,0.98046,0.98833,0.9684,0.97768,0.969,0.9827,0.89509,0.25295,0.5354,0.09782,0.22067,0.6666,0.0013173,0.000439099,0.0013173,0.000439099,0.0013173,0.000439099,0.0013173,0.000439099
67,3403.78,0.42733,0.77485,0.1333,0.4319,1.01549,0.97643,0.97022,0.98417,0.9598,0.97566,0.95778,0.97417,0.88717,0.2582,0.5461,0.09642,0.22262,0.6673,0.00130207,0.000434024,0.00130207,0.000434024,0.00130207,0.000434024,0.00130207,0.000434024
68,3459,0.42911,0.72602,0.13003,0.42285,1.01336,0.97686,0.98018,0.98459,0.9625,0.97267,0.97597,0.97785,0.88613,0.25076,0.53613,0.09714,0.21812,0.666,0.00128684,0.000428948,0.00128684,0.000428948,0.00128684,0.000428948,0.00128684,0.000428948
69,3511.42,0.44695,0.75104,0.13179,0.44582,1.02533,0.9748,0.98135,0.98514,0.96347,0.96854,0.97501,0.9759,0.88661,0.23746,0.54153,0.09916,0.21762,0.66255,0.00127162,0.000423873,0.00127162,0.000423873,0.00127162,0.000423873,0.00127162,0.000423873
70,3560.45,0.43307,0.76412,0.13091,0.43975,1.01838,0.97803,0.98467,0.9866,0.96734,0.97319,0.97977,0.97961,0.88737,0.24445,0.55961,0.09453,0.21354,0.66844,0.00125639,0.000418797,0.00125639,0.000418797,0.00125639,0.000418797,0.00125639,0.000418797
71,3605.91,0.42078,0.7619,0.13215,0.42663,1.00792,0.97816,0.98162,0.98733,0.96792,0.97542,0.97888,0.98365,0.89555,0.24391,0.53454,0.09498,0.20399,0.66331,0.00124117,0.000413722,0.00124117,0.000413722,0.00124117,0.000413722,0.00124117,0.000413722
72,3649.72,0.42241,0.75217,0.13232,0.42973,1.01296,0.97818,0.97172,0.98893,0.9676,0.97416,0.96695,0.98361,0.89979,0.2417,0.53525,0.09577,0.21195,0.66328,0.00122594,0.000408647,0.00122594,0.000408647,0.00122594,0.000408647,0.00122594,0.000408647
73,3693.2,0.42343,0.73076,0.12907,0.41625,1.0141,0.9675,0.97655,0.9854,0.96247,0.95718,0.97744,0.98128,0.8995,0.24222,0.53005,0.09227,0.20777,0.66829,0.00121071,0.000403571,0.00121071,0.000403571,0.00121071,0.000403571,0.00121071,0.000403571
74,3736.55,0.42649,0.75394,0.13238,0.42131,1.016,0.98295,0.97176,0.98769,0.96578,0.97978,0.96849,0.98223,0.89237,0.24494,0.52917,0.09555,0.2065,0.66799,0.00119549,0.000398496,0.00119549,0.000398496,0.00119549,0.000398496,0.00119549,0.000398496
75,3780.36,0.41451,0.70979,0.12892,0.41643,1.00815,0.97661,0.97321,0.98567,0.96445,0.9744,0.96994,0.98089,0.89596,0.23913,0.51996,0.09476,0.2078,0.66016,0.00118026,0.00039342,0.00118026,0.00039342,0.00118026,0.00039342,0.00118026,0.00039342
76,3823.46,0.42479,0.72723,0.128,0.4323,1.01657,0.9665,0.9773,0.9858,0.96559,0.96351,0.97106,0.98041,0.89605,0.24317,0.51684,0.09305,0.20915,0.6586,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345
77,3866.01,0.41538,0.73054,0.1305,0.41539,1.01347,0.97865,0.97371,0.98748,0.96695,0.97794,0.97302,0.98602,0.89796,0.24676,0.51935,0.09072,0.21156,0.66446,0.00114981,0.00038327,0.00114981,0.00038327,0.00114981,0.00038327,0.00114981,0.00038327
78,3909.57,0.42734,0.73766,0.12964,0.42375,1.01755,0.95572,0.98193,0.98382,0.95716,0.9804,0.95578,0.98222,0.89547,0.25167,0.50818,0.08947,0.21998,0.67145,0.00113458,0.000378194,0.00113458,0.000378194,0.00113458,0.000378194,0.00113458,0.000378194
79,3953.62,0.42476,0.75034,0.1278,0.42178,1.0149,0.97746,0.96857,0.98636,0.9666,0.97963,0.96587,0.98405,0.90276,0.23797,0.49966,0.09242,0.20378,0.66061,0.00111936,0.000373119,0.00111936,0.000373119,0.00111936,0.000373119,0.00111936,0.000373119
80,3997.88,0.43037,0.71066,0.1264,0.41955,1.01665,0.98497,0.96006,0.98579,0.95974,0.98271,0.95792,0.98077,0.89059,0.25301,0.5255,0.09266,0.20726,0.6716,0.00110413,0.000368043,0.00110413,0.000368043,0.00110413,0.000368043,0.00110413,0.000368043
81,4041.82,0.41198,0.71928,0.12719,0.41374,1.01179,0.97098,0.98039,0.98934,0.96591,0.98072,0.9695,0.98636,0.90109,0.25519,0.52339,0.09449,0.20394,0.67494,0.0010889,0.000362968,0.0010889,0.000362968,0.0010889,0.000362968,0.0010889,0.000362968
82,4086.2,0.41976,0.73297,0.13008,0.42444,1.01157,0.96684,0.97964,0.9891,0.96286,0.98737,0.95451,0.98364,0.89831,0.25662,0.51485,0.09209,0.20232,0.67424,0.00107368,0.000357893,0.00107368,0.000357893,0.00107368,0.000357893,0.00107368,0.000357893
83,4130.39,0.40999,0.7009,0.12874,0.40318,1.0069,0.97469,0.98126,0.99004,0.97356,0.97049,0.9769,0.98355,0.90674,0.23826,0.51048,0.09276,0.198,0.65997,0.00105845,0.000352817,0.00105845,0.000352817,0.00105845,0.000352817,0.00105845,0.000352817
84,4174.79,0.40976,0.69849,0.12661,0.40633,1.00616,0.97417,0.98204,0.98965,0.96875,0.97793,0.96874,0.98273,0.90427,0.24705,0.51988,0.08981,0.20183,0.66445,0.00104323,0.000347742,0.00104323,0.000347742,0.00104323,0.000347742,0.00104323,0.000347742
85,4219.15,0.41316,0.69778,0.12534,0.40536,1.00782,0.97187,0.96843,0.98715,0.96766,0.96894,0.96349,0.98058,0.89952,0.24864,0.51916,0.09297,0.20617,0.66549,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666
86,4263.8,0.41226,0.70464,0.12554,0.40019,1.00798,0.96941,0.97824,0.98487,0.96319,0.9658,0.97333,0.97862,0.89604,0.24758,0.5141,0.09271,0.21241,0.66639,0.00101277,0.000337591,0.00101277,0.000337591,0.00101277,0.000337591,0.00101277,0.000337591
87,4308.29,0.41313,0.68341,0.12488,0.4065,1.01011,0.96604,0.97472,0.98778,0.96766,0.96517,0.97128,0.98394,0.89911,0.25454,0.52492,0.08911,0.21081,0.66864,0.000997547,0.000332516,0.000997547,0.000332516,0.000997547,0.000332516,0.000997547,0.000332516
88,4352.84,0.40232,0.67493,0.12251,0.38762,0.99905,0.96435,0.98126,0.98507,0.96556,0.96159,0.97718,0.98042,0.90075,0.24215,0.51464,0.09099,0.20141,0.66427,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744
89,4397.42,0.40479,0.68411,0.12519,0.39716,1.00661,0.98391,0.97554,0.98724,0.96765,0.98101,0.97285,0.98316,0.90331,0.25256,0.5037,0.09155,0.20513,0.6616,0.000967094,0.000322365,0.000967094,0.000322365,0.000967094,0.000322365,0.000967094,0.000322365
90,4441.98,0.40691,0.67998,0.12442,0.40428,1.0054,0.98069,0.98341,0.98801,0.97073,0.97858,0.98017,0.98401,0.90516,0.23749,0.5052,0.09179,0.19844,0.6602,0.000951868,0.000317289,0.000951868,0.000317289,0.000951868,0.000317289,0.000951868,0.000317289
91,4486.98,0.408,0.66158,0.12389,0.39129,1.01044,0.9714,0.98102,0.98732,0.97032,0.96867,0.97826,0.98357,0.90426,0.22988,0.50034,0.09079,0.20072,0.65347,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214
92,4531.88,0.4061,0.66943,0.12234,0.39649,1.00413,0.97069,0.97659,0.98427,0.96703,0.96804,0.97251,0.98023,0.89811,0.23542,0.50726,0.08793,0.20026,0.6592,0.000921416,0.000307139,0.000921416,0.000307139,0.000921416,0.000307139,0.000921416,0.000307139
